#Read position (bp)	Clipping profile
0.0	16.52173913043478
1.0	7.82608695652174
2.0	0.8695652173913043
3.0	0.8695652173913043
4.0	0.8695652173913043
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.8695652173913043
26.0	0.8695652173913043
27.0	0.8695652173913043
28.0	0.8695652173913043
29.0	0.8695652173913043
30.0	0.8695652173913043
31.0	0.8695652173913043
32.0	1.7391304347826086
33.0	2.608695652173913
34.0	2.608695652173913
35.0	3.4782608695652173
36.0	2.608695652173913
37.0	2.608695652173913
38.0	2.608695652173913
39.0	1.7391304347826086
40.0	1.7391304347826086
41.0	1.7391304347826086
42.0	2.608695652173913
43.0	3.4782608695652173
44.0	3.4782608695652173
45.0	3.4782608695652173
46.0	4.3478260869565215
47.0	5.217391304347826
48.0	7.82608695652174
49.0	13.043478260869565
