# CRM chr1	248956422
# CRM chr2	242193529
# CRM chr3	198295559
# CRM chr4	190214555
# CRM chr5	181538259
# CRM chr6	170805979
# CRM chr7	159345973
# CRM chr8	145138636
# CRM chr9	138394717
# CRM chr10	133797422
# CRM chr11	135086622
# CRM chr12	133275309
# CRM chr13	114364328
# CRM chr14	107043718
# CRM chr15	101991189
# CRM chr16	90338345
# CRM chr17	83257441
# CRM chr18	80373285
# CRM chr19	58617616
# CRM chr20	64444167
# CRM chr21	46709983
# CRM chr22	50818468
# CRM chrX	156040895
# CRM chrY	57227415
# CRM chrM	16569
# CRM mmtv_luciferase	3183
HWI-D00733:50:C7HR0ANXX:1:1101:2502:2206~2~	chr1	11144688	1	44	11144678	11144854	chr1	11144741	0	58	11144678	11144854
HWI-D00733:50:C7HR0ANXX:1:1101:13901:2077~2~	chr1	16014781	1	62	16014781	16015220	chr1	16014891	0	74	16014781	16015220
HWI-D00733:50:C7HR0ANXX:1:1101:6159:2161	chr1	46902555	1	75	46902385	46902901	chr1	46902716	0	75	46902385	46902901
HWI-D00733:50:C7HR0ANXX:1:1101:4211:2498~2~	chr1	90749565	1	50	90749565	90750352	chr1	90749647	0	75	90749565	90750352
HWI-D00733:50:C7HR0ANXX:1:1101:5769:2165	chr1	160215500	1	75	160214417	160215824	chr1	160215658	0	75	160214417	160215824
HWI-D00733:50:C7HR0ANXX:1:1101:5844:2295	chr1	173805658	1	75	173805295	173805926	chr1	173805847	0	75	173805295	173805926
HWI-D00733:50:C7HR0ANXX:1:1101:6488:2458~2~	chr1	187555925	1	58	187555925	187556987	chr1	187556109	0	75	187555925	187556987
HWI-D00733:50:C7HR0ANXX:1:1101:7660:2238	chr1	190365069	1	75	190364548	190366083	chr1	190365396	0	75	190364548	190366083
HWI-D00733:50:C7HR0ANXX:1:1101:13233:2061	chr1	212557249	1	74	212557215	212558161	chr1	212557508	0	75	212557215	212558161
HWI-D00733:50:C7HR0ANXX:1:1101:8200:2273	chr1	217525768	1	48	217525635	217525937	chr1	217525815	0	48	217525635	217525937
